Quarter,Revenue
Q1-05,71680
Q2-05,76697
Q3-05,75397
Q4-05,88327
Q1-06,79676
Q2-06,85430
Q3-06,84467
Q4-06,98795
Q1-07,86410
Q2-07,92999
Q3-07,91865
Q4-07,105749
Q1-08,94940
Q2-08,102342
Q3-08,98345
Q4-08,108627
Q1-09,94242
Q2-09,100876
Q3-09,99373
Q4-09,113594
Q1-10,99811
Q2-10,103726
Q3-10,101952
Q4-10,116360
Q1-11,104189
Q2-11,109366
Q3-11,110226
Q4-11,122728
Q1-12,113010
Q2-12,114282
Q3-12,113800
Q4-12,127559
Q1-13,114070
Q2-13,116830
Q3-13,115688
Q4-13,129706
Q1-14,114960
Q2-14,120125
Q3-14,119001
Q4-14,131565
Q1-15,114826
Q2-15,120229
Q3-15,117408
Q4-15,129667
Q1-16,115904
Q2-16,120854
Q3-16,118179
Q4-16,130936
Q1-17,117542
Q2-17,123355
Q3-17,123179
Q4-17,136267
Q1-18,122690
Q2-18,128028
Q3-18,124894
Q4-18,138793
Q1-19,123925
Q2-19,130377
Q3-19,127991
Q4-19,141671
Q1-20,134622
Q2-20,137742
Q3-20,134708
Q4-20,152079
Q1-21,138310
Q2-21,141048
Q3-21,140525
Q4-21,152871
Q1-22,141569
Q2-22,152859
Q3-22,152813
Q4-22,164048
